Apps,Platform,Category,# Actions,# Activities,# Screens,Content Labeling,Implementation,Touch target size,Low contrast,Unnecessary text,Not readable,Items have the same description,Items share same location,Text Scaling,APK Name,Language
MHM,React Native,EDUCATION,187,8,89,8,20,5,8,false,true,false,false,true,4B7935DC79F030893C66BEB79710A7D4992BD5A4062A44536B4DAFB96B4434DB,ing
GOSPEL ADV,React Native,EDUCATION,220,5,90,4,14,6,7,false,true,true,false,true,1B362DBBFB441E9F6E54219CB1B6343D742822EC39CF91C31698DB81966CEF0C,ing
得到,React Native,BOOKS_AND_REFERENCE,206,6,104,26,87,34,58,true,true,true,true,true,1AC2B4F7A92B798CC9E5C6E451D07EFA5D79006C79EAFADA9D4D33FFF6EA7877,ing
Weight Diet Tracker,Flutter,HEALTH_AND_FITNESS,165,1,110,1,0,0,0,false,true,false,false,false,888A9FFC9A2ECA43B42EC72886B646A1E81836F4B6B62484966BDAD04EE12AF6.apk,ing
Career Endeavour,Ionic,EDUCATION,151,2,116,2,0,1,0,false,false,false,false,false,F735E9E1014A33C1E16568302774BCA820058F766AF684770B160AD2E3F83C3C,ing
Streams,React Native,EDUCATION,157,6,127,11,18,8,14,true,true,true,false,true,1CA562D05EF65584117B55D089B5F9A9B156920650C2C6FCD3EBCBF49BA3FE39,ing
MyAHUMC,React Native,EDUCATION,142,5,135,5,13,6,7,true,true,true,false,true,04A6C97A911065F1D0DAF0D9C696DDE41A407C945494BEEBEADDADAC80837A38,ing
The Refuge,React Native,LIFESTYLE,163,7,142,3,7,4,14,true,true,true,false,true,4A3ECC48252BC5C25E82391449C70D0CD10BF82C55167FAFC6B5D61077FFF0DE,ing
Deaf Church,React Native,EDUCATION,161,5,145,7,18,7,12,true,true,true,false,true,4A5B2599DB492F01A4753181C26B094C304274E9111C83C30C696B919E87255E,ing
Aniprev,React Native,LIFESTYLE,8,1,5,0,0,0,0,false,false,false,false,false,02AB61CDE3F5FE89F28FFE9883F21BD9D8069D175BD9CFE26441E50E38C17932,ing
Sequoia,React Native,EDUCATION,15,1,6,0,0,1,0,false,false,true,false,true,2DEA1567CA97D4C74EEA444EDDA24025AB83121494388CA912033586221C4397,ing
FBT,React Native,LIFESTYLE,12,1,6,0,1,1,0,false,false,true,false,true,2D12591688898C0A39F891355048829C5D21E33DAB6A058E9E29C3F483AA9EB6,ing
Vachnamrut,Ionic,EDUCATION,17,1,7,0,0,0,0,false,false,false,false,false,BAD1DB82331A278C7EC17E4A84C14C34335C4E801DB31D89058E39A223E62CD2,ing
CFC,React Native,LIFESTYLE,16,2,8,1,1,0,0,false,false,false,false,true,02B50BC29601FF8FE896294738647B465C4986065E05C1B872EA9FD7F1E95AFA,ing
FTOP,React Native,LIFESTYLE,19,1,9,4,11,3,8,true,true,true,false,true,1AA03A58CEFD3F349E86A37D082840A152516741C09BF14AFA12AFE29EB264D7,ing
Hydraulics,Ionic,BOOKS_AND_REFERENCE,33,1,15,0,0,0,0,false,false,false,false,false,1BAE42CE2224E1CDD6813FEF5E3DE7FD5DBB91AD24FED69B428F1CCFD35C2FCB,ing
MyNatura2000,Ionic,EDUCATION,59,1,18,0,0,0,1,false,false,false,false,false,D2E81F39CC99E52F5251D17B01AEF61F7EDAD1539F35AE6D03DF3BD24FC496D9,ing
开言英语,Flutter,EDUCATION,74,4,23,10,23,33,37,true,true,false,false,true,92042546BBEE4DFB1C01E838CD6390A5DB2CFB0DAD25B48C30366FA689361BDC.apk,ing
Banking,React Native,FINANCE,132,2,23,6,4,6,2,false,true,true,false,true,1C7BBBB63F6B59B314F0089510327C0C0B69F1E3A80F965BFD9FB759C5470F99,ing
The kings of Armenia,Ionic,BOOKS_AND_REFERENCE,49,2,24,0,0,0,0,false,false,false,false,false,1B473D2BBB712FC991260B15D2B8ED05C3774AC397CBB8B6B5A014148BB52710,ing
Material properties,Ionic,BOOKS_AND_REFERENCE,55,1,27,0,0,0,0,false,false,false,false,false,2B27FB17B89AEAA46638E271B172DB991E03AA5E05F1DC68724F8E2EE92B9818,ing
MOFA Qatar,Flutter,TRAVEL_AND_LOCAL,37,1,39,1,0,0,0,false,true,false,false,false,E0736CD342E7FDCAABAA1FF35DAA702A84DB383B962164AFACAD3F343639F215.apk,ing
