Apps,Platform,Category,# Actions,# Activities,# Screens,Content labeling,Implementation,Touch target size,Low contrast,Unnecessary text,Not readable,Items have the same description,Items share same location,Text Scaling,APK Name,Language,Considered
MyNatura2000,Ionic,EDUCATION,59,1,18,0,0,0,1,false,false,false,false,false,D2E81F39CC99E52F5251D17B01AEF61F7EDAD1539F35AE6D03DF3BD24FC496D9,ing,yes
开言英语,Flutter,EDUCATION,74,4,23,10,23,33,37,true,true,false,false,true,92042546BBEE4DFB1C01E838CD6390A5DB2CFB0DAD25B48C30366FA689361BDC.apk,ing,yes
Banking,React Native,FINANCE,132,2,23,6,4,6,2,false,true,true,false,true,1C7BBBB63F6B59B314F0089510327C0C0B69F1E3A80F965BFD9FB759C5470F99,ing,yes
The kings of Armenia,Ionic,BOOKS_AND_REFERENCE,49,2,24,0,0,0,0,false,false,false,false,false,1B473D2BBB712FC991260B15D2B8ED05C3774AC397CBB8B6B5A014148BB52710,ing,yes
Material properties,Ionic,BOOKS_AND_REFERENCE,55,1,27,0,0,0,0,false,false,false,false,false,2B27FB17B89AEAA46638E271B172DB991E03AA5E05F1DC68724F8E2EE92B9818,ing,yes
MOFA Qatar,Flutter,TRAVEL_AND_LOCAL,37,1,39,1,0,0,0,false,true,false,false,false,E0736CD342E7FDCAABAA1FF35DAA702A84DB383B962164AFACAD3F343639F215.apk,ing,yes
VTech Kid Connect (Nederlands),React Native,COMMUNICATION,0,0,0,0,0,0,0,null,null,null,null,null,2A290D9E3F3B7970F06EB9C4AF848E98C0AB89959342A44FB369186EF3332F21,ing,no
EduSys,Ionic,EDUCATION,0,0,0,0,0,0,0,null,null,null,null,null,C97A3C538DD7431608DBE6BBA748A86EB3DAB27496A7F9338BFE4342662B119C,ing,no
"School App - Attendance, Fee Payment, ERP Software",Ionic,EDUCATION,0,0,0,0,0,0,0,null,null,null,null,null,BA6E3096A7815D6E9E08A92A8A54ED3808E86C3C58A8B5F8EE1A39650BACDC08,ing,no
SAP ByD Mobile,Ionic,BUSINESS,3,1,1,0,0,0,0,null,null,null,null,null,3F24EDDF3D010029B38AA0EF639D0D905D687AA664DEC63D985180C4AB4DFF93,ing,no
